ID,Label,Degree,Eccentricity,Closeness Centrality,Betweenness Centrality,Modularity Class,Authority,Hub
343,343,1,8,0.195325543,0,9,0.002336449,0.002336449
156,156,1,7,0.240246407,0,0,0.002336449,0.002336449
174,174,2,6,0.290322581,9.38E-05,3,0.003504673,0.003504673
298,298,5,6,0.317073171,0.048432227,9,0.007009346,0.007009346
342,342,1,6,0.284671533,0,3,0.002336449,0.002336449
91,91,2,6,0.328651685,0,1,0.003504673,0.003504673
292,292,7,5,0.388704319,0.01596195,1,0.009345794,0.009345794
144,144,10,5,0.393939394,0.006539354,3,0.012850467,0.012850467
95,95,9,6,0.364485981,0.004344788,0,0.011682243,0.011682243
168,168,8,6,0.35347432,0.012719469,0,0.010514019,0.010514019
381,381,20,5,0.45703125,0.045615346,0,0.024532711,0.024532711
310,310,5,5,0.373801917,0.00582009,0,0.007009346,0.007009346
190,190,13,5,0.420863309,0.022985611,0,0.01635514,0.01635514
99,99,3,6,0.3046875,0.00490151,1,0.004672897,0.004672897
289,289,2,6,0.262331839,3.31E-04,1,0.003504673,0.003504673
109,109,3,6,0.333333333,0.002788915,1,0.004672897,0.004672897
107,107,1,6,0.278571429,0,4,0.002336449,0.002336449
387,387,1,6,0.254901961,0,10,0.002336449,0.002336449
119,119,3,6,0.348214286,1.48E-04,3,0.004672897,0.004672897
117,117,1,6,0.32231405,0,1,0.002336449,0.002336449
123,123,6,5,0.378640777,0.005251999,3,0.00817757,0.00817757
210,210,6,5,0.383606557,1.33E-04,2,0.00817757,0.00817757
115,115,2,7,0.242236025,0.012094672,9,0.003504673,0.003504673
404,404,1,8,0.195325543,0,9,0.002336449,0.002336449
275,275,4,5,0.393939394,4.43E-04,10,0.005841122,0.005841122
122,122,4,5,0.39261745,0.001555269,4,0.005841122,0.005841122
125,125,1,6,0.278571429,0,2,0.002336449,0.002336449
137,137,2,5,0.339130435,2.24E-04,1,0.003504673,0.003504673
124,124,1,6,0.296202532,0,3,0.002336449,0.002336449
358,358,9,5,0.403448276,0.00530481,0,0.011682243,0.011682243
196,196,4,6,0.344117647,0.003899007,4,0.005841122,0.005841122
173,173,11,5,0.40625,0.028133029,5,0.014018691,0.014018691
181,181,3,6,0.327731092,0,3,0.004672897,0.004672897
157,157,1,6,0.28960396,0,5,0.002336449,0.002336449
187,187,5,6,0.333333333,0.001323918,0,0.007009346,0.007009346
163,163,1,6,0.302325581,0,2,0.002336449,0.002336449
166,166,2,5,0.371428571,0.001251173,10,0.003504673,0.003504673
167,167,1,6,0.276595745,0,10,0.002336449,0.002336449
241,241,1,7,0.261744966,0,0,0.002336449,0.002336449
171,171,1,6,0.300771208,0,3,0.002336449,0.002336449
175,175,4,5,0.393939394,6.08E-05,10,0.005841122,0.005841122
335,335,4,5,0.393939394,6.08E-05,10,0.005841122,0.005841122
178,178,3,5,0.371428571,0,10,0.004672897,0.004672897
191,191,1,6,0.296954315,0,0,0.002336449,0.002336449
186,186,2,5,0.357798165,0.001097018,1,0.003504673,0.003504673
391,391,2,6,0.332386364,0,3,0.003504673,0.003504673
255,255,3,6,0.319672131,6.29E-04,0,0.004672897,0.004672897
338,338,3,5,0.372611465,1.51E-04,3,0.004672897,0.004672897
347,347,1,6,0.296202532,0,3,0.002336449,0.002336449
194,194,1,6,0.287469287,0,0,0.002336449,0.002336449
319,319,3,6,0.317073171,0,5,0.004672897,0.004672897
197,197,1,6,0.262921348,0,4,0.002336449,0.002336449
377,377,3,5,0.344117647,9.89E-04,1,0.004672897,0.004672897
379,379,2,5,0.36,0,2,0.003504673,0.003504673
216,216,3,6,0.36,0.010521903,9,0.004672897,0.004672897
219,219,1,1,1,0,11,0.002336449,0.002336449
288,288,1,1,1,0,11,0.002336449,0.002336449
237,237,2,6,0.3556231,0,4,0.003504673,0.003504673
315,315,3,6,0.329577465,0.007749822,1,0.004672897,0.004672897
409,409,1,6,0.32231405,0,1,0.002336449,0.002336449
239,239,1,6,0.314516129,0,0,0.002336449,0.002336449
369,369,2,5,0.358895706,3.70E-04,2,0.003504673,0.003504673
400,400,2,5,0.357798165,4.12E-04,5,0.003504673,0.003504673
405,405,1,6,0.281927711,0,2,0.002336449,0.002336449
253,253,1,6,0.316216216,0,4,0.002336449,0.002336449
350,350,1,6,0.28057554,0,1,0.002336449,0.002336449
323,323,1,6,0.278571429,0,4,0.002336449,0.002336449
368,368,1,6,0.297709924,0,2,0.002336449,0.002336449
320,320,1,1,1,0,12,0.002336449,0.002336449
414,414,1,1,1,0,12,0.002336449,0.002336449
383,383,1,6,0.300771208,0,3,0.002336449,0.002336449
