"","name","nurs","doct","state","zone","area","popu"
"84","Primary Health Care",3,1,"Abia","Southeast",49.16654183,423852
"85","Eziukwu Health Centre",1,0,"Abia","Southeast",49.16654183,423852
"86","Aba Ukwu HP",0,0,"Abia","Southeast",49.16654183,423852
"87","Mont Zion Christain Maternity",3,1,"Abia","Southeast",49.16654183,423852
"91","Umuosi Health Centre High Taste, Aba",2,0,"Abia","Southeast",49.16654183,423852
"92","Obuda PHC",2,0,"Abia","Southeast",49.16654183,423852
"93","John Okorie Memorial Hospital",10,3,"Abia","Southeast",49.16654183,423852
"94","Igwebuike Health Post",1,0,"Abia","Southeast",49.16654183,423852
"95","Health Office",2,3,"Abia","Southeast",49.16654183,423852
"96","Okpojiaku Health Centre",1,0,"Abia","Southeast",49.16654183,423852
"97","EluOhazu Health Centre",0,0,"Abia","Southeast",49.16654183,423852
"98","St Paulâs HP",0,0,"Abia","Southeast",49.16654183,423852
"100","St Judeâs HP",0,0,"Abia","Southeast",49.16654183,423852
"101","Agu Specialist Hospital",6,2,"Abia","Southeast",49.16654183,423852
"102","AMANKITA Health Post ",0,0,"Abia","Southeast",49.16654183,423852
"103","Victory Christain Hospital LTD",10,3,"Abia","Southeast",49.16654183,423852
"104","Ozuitem HP",0,0,"Abia","Southeast",49.16654183,423852
"106","Ndiegoro Health Post",0,0,"Abia","Southeast",49.16654183,423852
"107","Clehanson Hospital and Maternity/Fertity Centre",5,2,"Abia","Southeast",49.16654183,423852
"109","Ngwa Road End Clinic",0,0,"Abia","Southeast",49.16654183,423852
"112","Umuogele PHC",0,0,"Abia","Southeast",49.16654183,423852
"113","Clehanson Hospital",10,2,"Abia","Southeast",49.16654183,423852
"114","Lady Anastaisa Hospital",16,1,"Abia","Southeast",49.16654183,423852
"115","Onyemaechi Maternity",6,2,"Abia","Southeast",49.16654183,423852
"116","Nwadike Memorial Hospital",5,1,"Abia","Southeast",49.16654183,423852
"117","Aduanu health centre",0,0,"Abia","Southeast",524.2567225,170206
"118","Umuzomgbo primary health centre",0,0,"Abia","Southeast",524.2567225,170206
"119","Obinkita health centre",0,0,"Abia","Southeast",524.2567225,170206
"120","Uburu health centre",0,0,"Abia","Southeast",524.2567225,170206
"121","Eleoha ututu Phc",0,0,"Abia","Southeast",524.2567225,170206
"122","Ndiagwu Health Centre",0,0,"Abia","Southeast",524.2567225,170206
"123","Uche chukwu",0,0,"Abia","Southeast",524.2567225,170206
"124","amuvi model health centre",0,0,"Abia","Southeast",524.2567225,170206
"125","Obieze primary health centre",2,0,"Abia","Southeast",524.2567225,170206
"126","Ndi okereke Abam Health Centre",0,0,"Abia","Southeast",524.2567225,170206
"127"," arochukwu general hospital",16,2,"Abia","Southeast",524.2567225,170206
"128","St Anthony hospitally",0,0,"Abia","Southeast",524.2567225,170206
"129","Okpo health centre",0,0,"Abia","Southeast",524.2567225,170206
"130","Ndi- Ememe Abam",0,0,"Abia","Southeast",524.2567225,170206
"131","Amannagwu health centre",0,0,"Abia","Southeast",524.2567225,170206
"132","Mount Sinal Hospital Ozu Abam",2,1,"Abia","Southeast",524.2567225,170206
"133","Amafia/Amaetiti health centre",0,0,"Abia","Southeast",524.2567225,170206
"134","Obimba health centre",0,0,"Abia","Southeast",524.2567225,170206
"135","Ugwuavo health centre",0,0,"Abia","Southeast",524.2567225,170206
"136","Amakofia primary health centre",0,0,"Abia","Southeast",524.2567225,170206
"137","asaga health centre",2,0,"Abia","Southeast",524.2567225,170206
"138","AMAEKE ABAM PHC",0,0,"Abia","Southeast",524.2567225,170206
"139","Ukwuakwu Health centre",0,0,"Abia","Southeast",524.2567225,170206
"140","Achara health centre",0,0,"Abia","Southeast",524.2567225,170206
"141","Ndi Oji Abam Health Centre",2,0,"Abia","Southeast",524.2567225,170206
"142","OZU ABAM HEALTH CENTRE",0,0,"Abia","Southeast",524.2567225,170206
"143","St.Anthonyâs Hospital",1,1,"Abia","Southeast",524.2567225,170206
"144","primary health care center",0,0,"Abia","Southeast",524.2567225,170206
"145","Abuma ututu health centre",2,0,"Abia","Southeast",524.2567225,170206
"146","Obiene Health Centre",0,0,"Abia","Southeast",524.2567225,170206
"147","Amaogbu Health center",0,0,"Abia","Southeast",524.2567225,170206
"148","umuye health centre",0,0,"Abia","Southeast",524.2567225,170206
"149","Mkpaki health centre",4,0,"Abia","Southeast",524.2567225,170206
"151","ETITI ATAN ABAM HC",0,0,"Abia","Southeast",524.2567225,170206
"152","ndi okpo health centre",3,0,"Abia","Southeast",524.2567225,170206
"153","Isu health centre",0,0,"Abia","Southeast",524.2567225,170206
"154","atani basic health centre",0,0,"Abia","Southeast",524.2567225,170206
"155","lbom health centre",0,0,"Abia","Southeast",524.2567225,170206
"156","obichie health centre",0,0,"Abia","Southeast",524.2567225,170206
"157","NDI OKORIE PHC",0,0,"Abia","Southeast",524.2567225,170206
"158","Mercy catgolic hospital umuye ihechiowa",4,1,"Abia","Southeast",524.2567225,170206
"159","utughugwu health centre",2,0,"Abia","Southeast",524.2567225,170206
"160","Ugwuakuma health centre",0,0,"Abia","Southeast",524.2567225,170206
"161","amamiri health centre",1,0,"Abia","Southeast",524.2567225,170206
"162","Idima Abam health center",0,4,"Abia","Southeast",524.2567225,170206
"163","MODEL HOSPITAL ATAN",0,1,"Abia","Southeast",524.2567225,170206
"165","atan ihe primary health care centre",0,0,"Abia","Southeast",524.2567225,170206
"166","TB & Leprosy Referal Centre",0,1,"Abia","Southeast",601.5304693,192111
"167","Umuhu Ezechi Primary Health Centre",0,0,"Abia","Southeast",601.5304693,192111
"168","Amoji Imenyi Health Center",0,0,"Abia","Southeast",601.5304693,192111
"169","Umuokwe Health Centre Umuhu Ezechi",0,0,"Abia","Southeast",601.5304693,192111
"170","Uzoakoli Primary Health Centre",0,0,"Abia","Southeast",601.5304693,192111
"171","Bende Ovu Health Centre",0,0,"Abia","Southeast",601.5304693,192111
"172","UMUENYERE ALAYI HEALTH CENTRE",0,0,"Abia","Southeast",601.5304693,192111
"173","Nkechi Colwill methodist hospital",0,2,"Abia","Southeast",601.5304693,192111
"174","Okoko Item Maternity",0,0,"Abia","Southeast",601.5304693,192111
"175","AGBAOKOLI MODERN HEALTH CENTRE",0,0,"Abia","Southeast",601.5304693,192111
"176","Umunneato general hospital",0,1,"Abia","Southeast",601.5304693,192111
"177","Ubibia Health Centre",0,0,"Abia","Southeast",601.5304693,192111
"178","Okpuhu Health Centre",1,0,"Abia","Southeast",601.5304693,192111
"179","AMAOKWE PHC",2,0,"Abia","Southeast",601.5304693,192111
"180","Akoli Health Centre",0,0,"Abia","Southeast",601.5304693,192111
"181","Ngwu Health Centre,Uzoakoli",1,0,"Abia","Southeast",601.5304693,192111
"182","ULTRA MODERN HEALTH CENTRE",0,0,"Abia","Southeast",601.5304693,192111
"183","Umusi PHC Igbere",0,0,"Abia","Southeast",601.5304693,192111
"184","UMUNNATO PRIMARY HEALTH CENTRE",0,0,"Abia","Southeast",601.5304693,192111
"185","Ntubi Health Centre",0,0,"Abia","Southeast",601.5304693,192111
"186","Mba Health Centre",0,0,"Abia","Southeast",601.5304693,192111
"187","AMANKALU HEALTH CENTRE",0,0,"Abia","Southeast",601.5304693,192111
"188","Ezinne Maternity Home",0,0,"Abia","Southeast",601.5304693,192111
"189","Standard Health Centre Bende",0,0,"Abia","Southeast",601.5304693,192111
"190","Isiegbu Ozuitem PHC",0,0,"Abia","Southeast",601.5304693,192111
"191","AKANU MPAC",0,0,"Abia","Southeast",601.5304693,192111
"192","Igbere PHC",0,0,"Abia","Southeast",601.5304693,192111
"193","ULTRA MODERN STANDARD HEALTH CENTRE",0,0,"Abia","Southeast",601.5304693,192111
"194","NDIWo primary Health centre",0,0,"Abia","Southeast",601.5304693,192111
"195","Ugwu Nkpa Health Centre",0,0,"Abia","Southeast",601.5304693,192111
"196","OKOPEDI HEALTH CENTRE",0,0,"Abia","Southeast",601.5304693,192111
"197","Okporoenyi Health Centre",1,0,"Abia","Southeast",601.5304693,192111
"198","Lohum Health Center",0,0,"Abia","Southeast",601.5304693,192111
"199","OKAI HEALTH CENTRE",0,0,"Abia","Southeast",601.5304693,192111
"200","Ntalakwu Health Centre",0,0,"Abia","Southeast",601.5304693,192111
"201","Tochi Hospital",2,2,"Abia","Southeast",601.5304693,192111
"202","AMANKALU PRIMARY HEALTH CENTRE",0,0,"Abia","Southeast",601.5304693,192111
"203","Lodu Health Centre",0,0,"Abia","Southeast",601.5304693,192111
"204","AMAOKWE MATERNITY",0,0,"Abia","Southeast",601.5304693,192111
"205","Alayi Maternity Heath Care Center",1,0,"Abia","Southeast",601.5304693,192111
"206","Umuonasiukwu Health Centre",0,0,"Abia","Southeast",601.5304693,192111
"207","Etitiulo Health Centre",0,0,"Abia","Southeast",601.5304693,192111
"208","Amaukwu PHC",0,0,"Abia","Southeast",601.5304693,192111
"209","Amaegbuato Primary Health Centre",0,0,"Abia","Southeast",601.5304693,192111
"210","Amaba Primary Health Centre Ugwueke",0,0,"Abia","Southeast",601.5304693,192111
"211","Tochi Hospital",2,2,"Abia","Southeast",601.5304693,192111
"212","Amaiyi PHC",2,0,"Abia","Southeast",601.5304693,192111
"213","Amoji Lodu Health Centre",0,0,"Abia","Southeast",601.5304693,192111
"214","Ezeukwu Primary Health Centre",1,0,"Abia","Southeast",601.5304693,192111
"215","Agbamuzu Primary Health Center",0,0,"Abia","Southeast",601.5304693,192111
"216","NDIELU   HEALTH      CENTRE",0,0,"Abia","Southeast",601.5304693,192111
"217","Bende Maternity Home",0,0,"Abia","Southeast",601.5304693,192111
"218","AMAEKPU PRIMARY HEALTH CENTRE",0,0,"Abia","Southeast",601.5304693,192111
"219","Nnono/Oruigwe Health Centre",0,0,"Abia","Southeast",281.516886,137993
"220","Obuohia Health Centre",0,0,"Abia","Southeast",281.516886,137993
"221","St. Michaels Catholic Hospital Ariam Elu Elu",0,2,"Abia","Southeast",281.516886,137993
"222","Iyialu Health Centre",0,0,"Abia","Southeast",281.516886,137993
"223","Ariam Alala Health Center",0,0,"Abia","Southeast",281.516886,137993
"224","Ihim Health Centre",0,0,"Abia","Southeast",281.516886,137993
"225","Awomukwu Health Centre",0,0,"Abia","Southeast",281.516886,137993
"226","Isiala Health Centre",1,0,"Abia","Southeast",281.516886,137993
"227","Ariam Model Primary Health Centre",0,0,"Abia","Southeast",281.516886,137993
"228","Ngwugwo Health Centre",1,0,"Abia","Southeast",281.516886,137993
"229","Nkasi Maternity(TBA)",0,0,"Abia","Southeast",281.516886,137993
"230","Usaka Ukwu Health Center",0,0,"Abia","Southeast",281.516886,137993
"231","Ahaba Ukwu Health Centre",0,0,"Abia","Southeast",281.516886,137993
"232","Ndoro Health Centre",0,0,"Abia","Southeast",281.516886,137993
"233","Ahia-orie Ibere Health Centre",0,0,"Abia","Southeast",281.516886,137993
"234","Amizi Oloko Health Center",0,0,"Abia","Southeast",281.516886,137993
"235","Amaoba health centre",0,0,"Abia","Southeast",281.516886,137993
"236","Usaka Eleogu Health Centre",2,0,"Abia","Southeast",281.516886,137993
"237","Oloko PHC",1,0,"Abia","Southeast",281.516886,137993
"238","Inyila Health CommunityPost",0,0,"Abia","Southeast",281.516886,137993
"239","Amawom health centre",0,0,"Abia","Southeast",281.516886,137993
"240","PRIMARY Health Center",0,0,"Abia","Southeast",281.516886,137993
"241","Iberenta Primary Health Center",2,0,"Abia","Southeast",281.516886,137993
"242","Living Hope Hospital And Maternity",1,1,"Abia","Southeast",281.516886,137993
"243","Primary health care centre, Okweukwu.",0,0,"Abia","Southeast",281.516886,137993
"244","Ntalakwu Health Centre",0,0,"Abia","Southeast",281.516886,137993
"245","Christiana Maternity Ho me",0,0,"Abia","Southeast",281.516886,137993
"246","Nchara Akanu Health Centre",2,0,"Abia","Southeast",281.516886,137993
"247","Nchara Otoro Health Centre",0,0,"Abia","Southeast",281.516886,137993
"248","Obugwu Health Center",0,0,"Abia","Southeast",281.516886,137993
"249","Comprehensive Health centre",0,2,"Abia","Southeast",281.516886,137993
"250","Umudike Ukwu Health Centre",0,0,"Abia","Southeast",281.516886,137993
"251","Aro Ajatakiri Health Centre",0,0,"Abia","Southeast",281.516886,137993
"252","Ikemba Health Center",0,0,"Abia","Southeast",281.516886,137993
"253","Nkalunta Health Centre",1,0,"Abia","Southeast",281.516886,137993
"254","Itunta Health Centre",0,0,"Abia","Southeast",281.516886,137993
"255","Isiugu Health Centre",0,0,"Abia","Southeast",281.516886,137993
"256","Model health centre",1,0,"Abia","Southeast",283.0211843,153734
"257","Usaka primary health centre",0,0,"Abia","Southeast",283.0211843,153734
"258","Health",3,0,"Abia","Southeast",283.0211843,153734
"259","Health",0,0,"Abia","Southeast",283.0211843,153734
"260","Umuode primary health centre",2,0,"Abia","Southeast",283.0211843,153734
"261","Amaorji health centre",0,0,"Abia","Southeast",283.0211843,153734
"262","Health",0,0,"Abia","Southeast",283.0211843,153734
"263","Health",0,0,"Abia","Southeast",283.0211843,153734
"264","Cttage Hospital Mbawsi",8,1,"Abia","Southeast",283.0211843,153734
"265","Health",0,0,"Abia","Southeast",283.0211843,153734
"266","PHC",0,0,"Abia","Southeast",283.0211843,153734
"268","Umuosu primary health centre",0,0,"Abia","Southeast",283.0211843,153734
"269","AHIABA UBI HEALTH CENTER",0,0,"Abia","Southeast",283.0211843,153734
"270","Health",2,0,"Abia","Southeast",283.0211843,153734
"271","Umuekpe health centre ntigha",0,0,"Abia","Southeast",283.0211843,153734
"272","Amaputa Health Post",0,0,"Abia","Southeast",283.0211843,153734
"273","Health centre",1,0,"Abia","Southeast",283.0211843,153734
"274","PHC",0,0,"Abia","Southeast",283.0211843,153734
"275","Ihie Health centre",0,0,"Abia","Southeast",283.0211843,153734
"276","Abayi Health Centre",0,0,"Abia","Southeast",283.0211843,153734
"277","Basic health center",0,0,"Abia","Southeast",283.0211843,153734
"278","HEALTH OFFICE CLINIC",0,0,"Abia","Southeast",283.0211843,153734
"280","OSUSU AMAIRI HEALTH CENTRE",0,0,"Abia","Southeast",283.0211843,153734
"281","Ahiaba Okpuala primary health centre",1,0,"Abia","Southeast",283.0211843,153734
"282","Okpuala Ngwa primary health care",4,0,"Abia","Southeast",283.0211843,153734
"283","Primary health care centre",1,0,"Abia","Southeast",283.0211843,153734
"284","Avo ntigha health Centre",1,0,"Abia","Southeast",283.0211843,153734
"285","Health",0,0,"Abia","Southeast",283.0211843,153734
"286","Health",0,0,"Abia","Southeast",283.0211843,153734
"287","Health post",0,0,"Abia","Southeast",283.0211843,153734
"288","Health",0,0,"Abia","Southeast",283.0211843,153734
"289","Amachi health post",0,0,"Abia","Southeast",283.0211843,153734
"291","Health",5,2,"Abia","Southeast",283.0211843,153734
"292","Umuakwu health centre",2,0,"Abia","Southeast",283.0211843,153734
"293","Health",0,0,"Abia","Southeast",283.0211843,153734
"294","Health",0,0,"Abia","Southeast",283.0211843,153734
"295","Health",0,0,"Abia","Southeast",283.0211843,153734
"296","Primary Health Care Centre.",0,0,"Abia","Southeast",283.0211843,153734
"297","Ohuhu primary health centre",0,0,"Abia","Southeast",283.0211843,153734
"298","Primary health care centre",0,0,"Abia","Southeast",283.0211843,153734
"299","Egbelu ubi health post",0,0,"Abia","Southeast",283.0211843,153734
"300","Health",4,2,"Abia","Southeast",283.0211843,153734
"301","PHC",0,0,"Abia","Southeast",283.0211843,153734
"302","Ntigha Okpuala Health Post",0,0,"Abia","Southeast",283.0211843,153734
"304","Health center",0,0,"Abia","Southeast",283.0211843,153734
"305","Apunekpu health centre",0,0,"Abia","Southeast",283.0211843,153734
"306","ogechi(chichi) maternity",1,0,"Abia","Southeast",258.0980277,134762
"307","maternity",0,0,"Abia","Southeast",258.0980277,134762
"308","umuawa health centre",0,0,"Abia","Southeast",258.0980277,134762
"309","nnebuihe",0,0,"Abia","Southeast",258.0980277,134762
"310","Umuagu Primary Health Centre",0,0,"Abia","Southeast",258.0980277,134762
"311","Umuihe Primary Health Care",0,0,"Abia","Southeast",258.0980277,134762
"312","phc",0,0,"Abia","Southeast",258.0980277,134762
"313","Mgboko anga",2,0,"Abia","Southeast",258.0980277,134762
"314","phc",0,0,"Abia","Southeast",258.0980277,134762
"315","Umueke Primary Health Center",0,0,"Abia","Southeast",258.0980277,134762
"316","phc",0,0,"Abia","Southeast",258.0980277,134762
"317","Ronald hospital and maternity",4,2,"Abia","Southeast",258.0980277,134762
"318","primary health care",2,0,"Abia","Southeast",258.0980277,134762
"319","Mbutu Umuoko Primary Health Centre",1,0,"Abia","Southeast",258.0980277,134762
"320","NGWA OBI PRIMARY HEALTH CARE CENTRE",0,0,"Abia","Southeast",258.0980277,134762
"321","Umuotiri Health Centre",0,0,"Abia","Southeast",258.0980277,134762
"322","Ndiolumbe Health Centre",0,0,"Abia","Southeast",258.0980277,134762
"323","faith maternity ",0,0,"Abia","Southeast",258.0980277,134762
"324","Community Health Centre Owerrinta",0,0,"Abia","Southeast",258.0980277,134762
"325","NKEM NVOSI PHC",0,0,"Abia","Southeast",258.0980277,134762
"326","emmamuel maternity",1,0,"Abia","Southeast",258.0980277,134762
"327","innokin hospital",4,1,"Abia","Southeast",258.0980277,134762
"328","euna hospital",0,0,"Abia","Southeast",258.0980277,134762
"329","NKEM NVOSI PHC",0,0,"Abia","Southeast",258.0980277,134762
"330","muhani hospital",3,1,"Abia","Southeast",258.0980277,134762
"331","st simeon hospital and maternity",6,0,"Abia","Southeast",258.0980277,134762
"332","mercy maternity",3,1,"Abia","Southeast",258.0980277,134762
"333","Mgbokonta Health Centre",0,0,"Abia","Southeast",258.0980277,134762
"334","ezinna maternity",0,0,"Abia","Southeast",258.0980277,134762
"335","Africare Primary Health Center",0,0,"Abia","Southeast",258.0980277,134762
"336","Obuba Primary Health Centre",0,0,"Abia","Southeast",258.0980277,134762
"337","Ronald Hospital & Maternity",4,2,"Abia","Southeast",258.0980277,134762
"338","Umuekene Health center",0,0,"Abia","Southeast",258.0980277,134762
"339","Ehe-na-Uguru Priimary Health Centre, Ebeyi",0,0,"Abia","Southeast",258.0980277,134762
"340","amaku health centre",1,0,"Abia","Southeast",258.0980277,134762
"341","Etegha na Agbogho Health Centre Nvosi",0,0,"Abia","Southeast",258.0980277,134762
"342","Umunkpeyi Health Centre",0,0,"Abia","Southeast",258.0980277,134762
"343","chukwudi ikoro",0,0,"Abia","Southeast",258.0980277,134762
"344","Omoba Health Center",0,0,"Abia","Southeast",258.0980277,134762
"345","Umuehim Primary Health Post",0,0,"Abia","Southeast",258.0980277,134762
"346","chichi  glory maternity",1,0,"Abia","Southeast",258.0980277,134762
"347","umuabali health centre",0,0,"Abia","Southeast",258.0980277,134762
"348","Umuajuju Health Center",0,0,"Abia","Southeast",258.0980277,134762
"349","MBUTU NGWA HEALTH CENTRE",0,0,"Abia","Southeast",258.0980277,134762
"350","Umuene Community Health Center",0,0,"Abia","Southeast",258.0980277,134762
"351","mercy maternity",3,0,"Abia","Southeast",258.0980277,134762
"352","Agbaragwu. Health Centre",0,0,"Abia","Southeast",258.0980277,134762
"353","NGWA OBI PRIMARY HEALTH CARE",0,0,"Abia","Southeast",258.0980277,134762
"354","soso maternity",3,0,"Abia","Southeast",258.0980277,134762
"355","Amator Primary Health Centre",0,0,"Abia","Southeast",258.0980277,134762
"356","ugom maternity",0,0,"Abia","Southeast",258.0980277,134762
"357","Umunko Primary Health Centre, Isialangwa South",0,0,"Abia","Southeast",258.0980277,134762
"358","chinwe maternity",0,0,"Abia","Southeast",258.0980277,134762
"359","Gods care maternity clinic",5,1,"Abia","Southeast",258.0980277,134762
"360","christian way hospital",2,1,"Abia","Southeast",258.0980277,134762
"361","Eketa Primary Health Centre",0,0,"Abia","Southeast",258.0980277,134762
"362","UMUOBIALA HEALTH CENTRE",0,0,"Abia","Southeast",393.5685881,114442
"363","Ugwuele Health Center",1,0,"Abia","Southeast",393.5685881,114442
"364","Amune Health Centre Ovlm",0,0,"Abia","Southeast",393.5685881,114442
"365","Ahaba PHC",0,0,"Abia","Southeast",393.5685881,114442
"366","William Hospital-Maternity Clinics",1,0,"Abia","Southeast",393.5685881,114442
"367","AMAIYI UHU PHC",0,0,"Abia","Southeast",393.5685881,114442
"368","Ezere Health Centre",0,0,"Abia","Southeast",393.5685881,114442
"369","Echiele Health Centre",0,0,"Abia","Southeast",393.5685881,114442
"370","Eluama Primary Health Care Centre",0,0,"Abia","Southeast",393.5685881,114442
"371","Onuaku Health center",0,0,"Abia","Southeast",393.5685881,114442
"372","Marist cottage hospital hope ville achara",0,2,"Abia","Southeast",393.5685881,114442
"373","AMACHARA HEALTH CENTRE",0,0,"Abia","Southeast",393.5685881,114442
"374","General Hospital isuikwuato",0,6,"Abia","Southeast",393.5685881,114442
"375","Mbaugwu PHC",1,0,"Abia","Southeast",393.5685881,114442
"376","UMUNNEUKWU HEALTH CENTRE",0,0,"Abia","Southeast",393.5685881,114442
"377","Otampa Health Centre",0,0,"Abia","Southeast",393.5685881,114442
"378","Nvurunvu Health Centre",0,0,"Abia","Southeast",393.5685881,114442
"379","Ndundu Health Centre",0,0,"Abia","Southeast",393.5685881,114442
"380","MGBELU UMUNNEKWU Referral health centre",1,0,"Abia","Southeast",393.5685881,114442
"381","UMUEBEREAJA PHC",0,0,"Abia","Southeast",393.5685881,114442
"382","AMAIYI OBINOHIA PHC",0,0,"Abia","Southeast",393.5685881,114442
"383","Achara PHC",1,0,"Abia","Southeast",393.5685881,114442
"384","Hopeville Rehabilitation",0,0,"Abia","Southeast",393.5685881,114442
"385","Swiss Foundation Hospital Amago",6,1,"Abia","Southeast",393.5685881,114442
"386","Abia State University Medical Centre",1,2,"Abia","Southeast",393.5685881,114442
"387","Ohiyinta Health Centre Ahaba",0,0,"Abia","Southeast",393.5685881,114442
"388","Uturu health centre ukwunwangwu",1,0,"Abia","Southeast",393.5685881,114442
"389","UGWUNTU HEALTH CENTRE",0,0,"Abia","Southeast",393.5685881,114442
"390","NUNYA PHC",0,0,"Abia","Southeast",393.5685881,114442
"391","Umueberenkume Health centre",1,0,"Abia","Southeast",393.5685881,114442
"392","Ibeaja Memorial Hospital",3,1,"Abia","Southeast",393.5685881,114442
"393","ACHA PRIMARY HEALTH CENTRE",0,0,"Abia","Southeast",393.5685881,114442
"394","Obayi Health Centre",0,1,"Abia","Southeast",393.5685881,114442
"395","Amaba primary Health Centre",0,0,"Abia","Southeast",393.5685881,114442
"396","Maternal And Child Health Centre",0,0,"Abia","Southeast",393.5685881,114442
"397","Umumara Health Centre",0,0,"Abia","Southeast",393.5685881,114442
"398","UMEREM HEALTH CENTRE",0,0,"Abia","Southeast",393.5685881,114442
"399","Ngodo Health Centtre Uturu",0,0,"Abia","Southeast",393.5685881,114442
"400","Umuakwua Primary Health Centre",0,0,"Abia","Southeast",393.5685881,114442
"401","Umuasua Health Centre",0,0,"Abia","Southeast",393.5685881,114442
"402","Ozara Health Centre",0,0,"Abia","Southeast",393.5685881,114442
"403","Ovim PHC",0,0,"Abia","Southeast",393.5685881,114442
"404","Amangeleukwu Health Centre",0,0,"Abia","Southeast",393.5685881,114442
"405","Maternal and Child Health Center",0,0,"Abia","Southeast",393.5685881,114442
"406","AMAIBO HEALTH CENTRE",3,0,"Abia","Southeast",393.5685881,114442
"407","UFIELE AKU PHC",0,0,"Abia","Southeast",438.2592552,245144
"408","Peter Uka Orji Memorial Hospital",6,1,"Abia","Southeast",438.2592552,245144
"409","Elughu Primary Health Centre",0,0,"Abia","Southeast",438.2592552,245144
"410","isigwu health center",0,0,"Abia","Southeast",438.2592552,245144
